Position X [µm],Position Y [µm],Time [h],Lineage ID
877.5,340.5,1,2
531.5,384.5,1,1
382.5,58.5,1,3
891.5,348.5,2,2
535.5,390.5,2,1
389.5,57.5,2,3
896.5,355.5,3,2
536.5,390.5,3,1
386.5,54.5,3,3
899.5,355.5,4,2
542.5,385.5,4,1
392.5,50.5,4,3
899.5,357.5,5,2
541.5,383.5,5,1
398.5,49.5,5,3
896.5,355.5,6,2
539.5,378.5,6,1
397.5,50.5,6,3
899.5,358.5,7,2
536.5,373.5,7,1
397.5,29.5,7,3
899.5,359.5,8,2
529.5,372.5,8,1
388.5,25.5,8,3
897.5,355.5,9,2
532.5,371.5,9,1
379.5,24.5,9,3
899.5,352.5,10,2
550.5,386.5,10,1
374.5,28.5,10,3
895.5,349.5,11,2
548.5,393.5,11,1
370.5,27.5,11,3
892.5,338.5,12,2
548.5,384.5,12,1
371.5,28.5,12,3
883.5,314.5,13,2
539.5,375.5,13,11
564.5,416.5,13,12
368.5,27.5,13,3
883.5,313.5,14,2
533.5,409.5,14,11
575.5,397.5,14,12
369.5,27.5,14,3
886.5,324.5,15,2
525.5,399.5,15,11
574.5,405.5,15,12
366.5,28.5,15,3
889.5,311.5,16,2
521.5,407.5,16,11
564.5,389.5,16,12
363.5,28.5,16,3
885.5,315.5,17,2
521.484,390.486,17,11
543.516,405.514,17,12
364.5,30.5,17,3
887.5,320.5,18,2
515.5,390.5,18,11
557.5,407.5,18,12
363.5,31.5,18,3
885.5,320.5,19,2
524.5,396.5,19,11
580.5,381.5,19,12
362.5,30.5,19,3
897.5,349.5,20,2
533.5,398.5,20,11
588.5,382.5,20,12
360.5,29.5,20,3
894.5,349.5,21,2
526.5,403.5,21,11
568.5,380.5,21,12
360.5,31.5,21,3
899.5,320.5,22,2
523.5,399.5,22,11
570.5,381.5,22,12
360.5,31.5,22,3
906.5,306.5,23,2
526.5,395.5,23,11
581.5,410.5,23,12
362.5,29.5,23,3
897.5,316.5,24,2
526.5,390.5,24,11
583.5,403.5,24,12
363.5,30.5,24,3
890.5,326.5,25,2
524.5,390.5,25,11
577.5,412.5,25,12
365.5,31.5,25,3
874.5,329.5,26,2
530.5,387.5,26,11
583.5,411.5,26,12
365.5,32.5,26,3
897.5,310.5,27,21
862.5,337.5,27,22
535.5,388.5,27,11
600.5,409.5,27,12
366.5,30.5,27,3
915.5,308.5,28,21
869.5,312.5,28,22
534.5,387.5,28,11
611.5,421.5,28,12
366.5,28.5,28,3
935.5,287.5,29,21
872.5,308.5,29,22
540.5,387.5,29,11
614.5,418.5,29,12
368.5,29.5,29,3
943.5,288.5,30,21
867.5,310.5,30,22
541.5,386.5,30,11
601.5,413.5,30,12
367.5,28.5,30,3
953.5,285.5,31,21
849.5,327.5,31,22
528.5,380.5,31,11
572.5,405.5,31,12
369.5,31.5,31,3
942.5,291.5,32,21
852.5,340.5,32,22
525.5,390.5,32,11
574.5,402.5,32,12
373.5,31.5,32,3
930.5,294.5,33,21
856.5,334.5,33,22
531.5,373.5,33,11
582.5,387.5,33,12
373.5,31.5,33,3
932.5,290.5,34,21
866.5,322.5,34,22
550.5,385.5,34,11
615.5,401.5,34,12
370.5,33.5,34,3
947.5,277.5,35,21
862.5,327.5,35,22
543.5,395.5,35,11
607.5,418.5,35,12
367.5,31.5,35,3
955.5,278.5,36,21
857.5,325.5,36,22
548.5,389.5,36,11
608.5,419.5,36,12
366.5,31.5,36,3
956.5,276.5,37,21
865.5,328.5,37,22
543.5,369.499,37,111
553.5,408.501,37,112
598.499,399.498,37,121
611.502,431.502,37,122
366.5,31.5,37,3
955.5,278.5,38,21
872.5,321.5,38,22
532.5,376.5,38,111
561.5,415.5,38,112
577.5,367.5,38,121
612.5,426.5,38,122
369.5,30.5,38,3
955.5,284.5,39,21
870.5,326.5,39,22
555.496,351.494,39,111
573.5,421.5,39,112
565.503,381.505,39,121
613.5,434.5,39,122
366.5,31.5,39,3
949.5,287.5,40,21
871.5,324.5,40,22
529.497,356.498,40,111
567.5,415.5,40,112
562.503,365.502,40,121
621.5,441.5,40,122
367.5,32.5,40,3
946.5,275.5,41,21
877.5,324.5,41,22
524.477,362.486,41,111
580.5,397.5,41,112
549.505,371.503,41,121
626.5,450.5,41,122
370.5,33.5,41,3
945.5,279.5,42,21
877.5,327.5,42,22
513.5,395.5,42,111
566.5,413.5,42,112
562.5,363.5,42,121
609.5,427.5,42,122
372.5,31.5,42,3
940.5,293.5,43,21
873.5,332.5,43,22
511.5,409.5,43,111
554.5,387.5,43,112
543.5,348.499,43,121
591.5,405.5,43,122
383.5,31.5,43,3
941.5,290.5,44,21
878.5,337.5,44,22
509.5,409.5,44,111
546.5,390.5,44,112
535.5,357.499,44,121
576.5,412.5,44,122
393.5,34.5,44,3
940.5,283.5,45,21
880.5,342.5,45,22
504.5,418.5,45,111
558.5,341.5,45,112
512.5,374.5,45,121
569.5,402.5,45,122
394.5,34.5,45,3
947.5,273.5,46,21
883.5,343.5,46,22
522.5,406.503,46,111
556.5,327.5,46,112
521.5,370.497,46,121
568.5,398.5,46,122
393.5,43.5,46,3
945.5,259.5,47,21
880.5,339.5,47,22
540.499,411.501,47,111
558.5,318.5,47,112
516.5,374.5,47,121
559.501,382.499,47,122
397.5,41.5,47,3
943.5,264.5,48,21
879.5,334.5,48,22
531.5,404.502,48,111
557.5,313.5,48,112
515.499,371.499,48,121
568.501,394.499,48,122
392.5,35.5,48,3
946.5,271.5,49,21
870.5,326.5,49,22
527.499,403.501,49,111
569.501,333.499,49,112
536.499,349.501,49,121
563.501,391.499,49,122
389.5,37.5,49,3
935.499,259.499,50,211
948.501,293.501,50,212
867.5,327.5,50,22
524.5,409.5,50,111
582.5,342.5,50,112
523.5,352.5,50,121
566.5,383.5,50,122
398.5,37.5,50,3
934.492,266.474,51,211
938.508,293.526,51,212
861.499,333.5,51,221
901.501,338.5,51,222
536.499,414.501,51,111
583.501,360.499,51,112
516.5,356.5,51,121
561.5,388.5,51,122
398.5,37.5,51,3
954.5,243.5,52,211
912.5,291.5,52,212
846.5,326.5,52,221
900.5,346.5,52,222
546.5,422.5,52,111
582.5,358.498,52,112
523.5,361.5,52,121
579.5,395.502,52,122
406.5,38.5,52,3
954.5,248.5,53,211
887.5,288.5,53,212
839.5,323.5,53,221
901.5,349.5,53,222
565.498,412.504,53,111
578.502,347.494,53,112
529.5,348.5,53,121
575.501,380.503,53,122
408.5,36.5,53,3
959.5,235.5,54,211
884.5,289.5,54,212
833.5,325.5,54,221
900.5,349.5,54,222
560.5,404.5,54,111
568.501,340.501,54,112
547.498,322.498,54,121
589.5,367.5,54,122
411.5,38.5,54,3
964.5,232.5,55,211
900.5,287.5,55,212
817.5,326.5,55,221
901.5,351.5,55,222
533.5,390.5,55,111
582.5,349.499,55,112
549.499,331.499,55,121
588.501,386.502,55,122
405.5,38.5,55,3
967.5,249.5,56,211
874.5,302.5,56,212
813.5,326.5,56,221
901.5,354.5,56,222
526.5,372.5,56,111
591.5,350.5,56,112
558.5,319.5,56,121
573.5,395.5,56,122
412.5,36.5,56,3
970.5,256.5,57,211
867.5,302.5,57,212
813.5,325.5,57,221
901.5,353.5,57,222
535.5,381.5,57,111
588.5,351.5,57,112
541.501,344.498,57,121
586.5,404.5,57,122
414.5,40.5,57,3
968.5,260.5,58,211
861.5,304.5,58,212
802.5,337.5,58,221
903.5,355.5,58,222
531.5,393.501,58,111
590.5,372.5,58,112
572.5,319.5,58,1211
543.502,361.497,58,1212
584.5,415.5,58,122
417.5,45.5,58,3
967.5,256.5,59,211
865.5,291.5,59,212
814.5,328.5,59,221
903.5,355.5,59,222
526.5,403.5,59,111
589.502,392.499,59,112
577.503,361.499,59,1211
547.496,363.501,59,1212
574.498,418.501,59,1221
613.885,420.933,59,1222
416.5,35.5,59,3
953.5,271.5,60,211
839.5,320.5,60,212
800.5,340.5,60,221
902.5,355.5,60,222
513.496,378.497,60,1111
535.48,414.527,60,1112
544.502,389.478,60,1121
548.503,358.49,60,1212
566.518,405.509,60,1221
591.501,380.499,60,1222
414.5,43.5,60,3
938.5,282.5,61,211
826.5,320.5,61,212
794.5,346.5,61,221
902.5,355.5,61,222
504.5,404.5,61,1111
548.499,431.501,61,1112
532.499,361.499,61,1121
566.5,377.499,61,1122
603.5,357.5,61,1211
579.502,411.501,61,1221
402.5,44.5,61,3
928.5,291.5,62,211
826.5,322.5,62,212
790.5,349.5,62,221
894.5,353.5,62,222
525.496,396.503,62,1111
534.5,433.501,62,1112
566.5,340.5,62,1121
604.5,370.5,62,1122
588.5,308.5,62,1211
540.503,368.496,62,1212
566.495,415.499,62,1221
600.501,415.5,62,1222
406.5,38.5,62,3
925.5,288.5,63,211
837.5,328.5,63,212
797.5,344.5,63,221
881.5,333.5,63,222
549.498,433.501,63,1112
565.5,309.5,63,1121
625.5,391.5,63,1122
610.29,322.676,63,1211
540.5,372.5,63,1212
578.502,415.499,63,1221
414.5,51.5,63,3
921.5,296.5,64,211
821.501,321.482,64,212
820.499,350.518,64,221
881.5,333.5,64,222
518.464,408.465,64,1111
626.498,422.51,64,1112
580.5,320.5,64,1121
629.502,391.49,64,1122
574.502,368.5,64,1211
536.498,372.5,64,1212
531.537,420.535,64,1221
505.499,441.501,64,1222
413.5,40.5,64,3
911.5,312.5,65,211
828.5,323.499,65,212
836.501,358.502,65,221
905.5,359.5,65,222
555.502,413.498,65,1111
597.5,422.5,65,1112
565.5,306.5,65,1121
615.5,360.5,65,1122
587.5,384.5,65,1211
538.5,365.5,65,1212
517.489,424.49,65,1221
537.509,443.511,65,1222
401.5,47.5,65,3
896.495,332.491,66,211
861.5,307.5,66,212
809.5,344.5,66,221
905.505,361.509,66,222
616.502,392.499,66,1112
576.5,296.5,66,1121
628.5,354.499,66,1122
588.49,402.506,66,1211
540.5,364.5,66,1212
539.5,416.5,66,1221
573.5,448.5,66,1222
383.737,60.553,66,31
394.489,62.461,66,32
865.5,347.5,67,211
885.5,302.5,67,212
796.5,345.5,67,221
909.5,377.5,67,222
636.501,380.5,67,1112
578.5,290.5,67,1121
602.5,334.5,67,1122
595.499,378.5,67,1211
537.5,365.5,67,1212
574.499,430.499,67,1221
606.501,447.501,67,1222
402.462,48.439,67,31
409.538,62.561,67,32
850.5,346.5,68,211
872.5,303.5,68,212
789.5,342.5,68,221
908.5,379.5,68,222
551.5,423.5,68,1111
631.505,346.495,68,1112
577.5,286.499,68,1121
585.5,325.501,68,1122
611.495,368.505,68,1211
537.5,364.5,68,1212
613.5,412.5,68,1221
593.5,449.5,68,1222
378.309,62.448,68,31
393.562,66.518,68,32
892.5,332.5,69,211
847.5,313.5,69,212
796.5,344.5,69,221
902.5,373.5,69,222
551.5,423.5,69,1111
606.5,347.5,69,1112
600.5,304.5,69,1121
561.5,321.5,69,1122
643.5,375.5,69,1211
535.5,364.5,69,1212
609.5,403.5,69,1221
593.5,447.5,69,1222
378.408,70.495,69,31
391.54,71.494,69,32
924.5,322.5,70,211
862.5,330.5,70,212
799.5,337.5,70,221
903.5,367.5,70,222
557.5,430.5,70,1111
592.5,337.503,70,1112
594.5,301.497,70,1121
544.501,340.498,70,1122
659.501,382.499,70,1211
529.498,365.502,70,1212
621.5,389.5,70,1221
603.5,447.5,70,1222
384.439,46.439,70,31
399.515,61.515,70,32
946.5,321.5,71,211
836.5,358.5,71,212
793.5,333.5,71,221
905.5,370.5,71,222
554.5,437.5,71,1111
602.5,341.5,71,1112
590.5,294.5,71,1121
547.501,335.488,71,1122
680.5,403.5,71,1211
546.499,360.512,71,1212
635.5,389.5,71,1221
601.5,450.5,71,1222
377.477,47.481,71,31
399.505,60.504,71,32
960.5,296.5,72,211
823.5,355.5,72,212
787.5,333.5,72,221
915.5,365.5,72,222
542.5,421.5,72,1111
611.501,334.499,72,1112
580.5,301.5,72,1121
547.5,346.5,72,1122
686.5,411.5,72,1211
592.555,367.971,72,1212
629.5,418.5,72,1221
577.5,443.5,72,1222
386.484,44.977,72,31
402.506,64.506,72,32
961.5,289.5,73,211
825.5,348.5,73,212
782.5,348.5,73,221
916.5,367.5,73,222
553.5,433.5,73,1111
600.5,350.5,73,1112
577.5,303.5,73,1121
541.5,348.5,73,1122
680.5,423.5,73,1211
648.501,349.499,73,1212
634.499,384.501,73,1221
602.5,451.5,73,1222
380.456,45.459,73,31
397.51,60.51,73,32
958.5,286.5,74,2111
923.5,316.5,74,2112
832.5,348.5,74,212
781.5,343.5,74,221
910.5,365.5,74,222
549.5,422.5,74,1111
593.503,337.504,74,1112
582.497,306.496,74,1121
549.5,347.5,74,1122
658.5,446.5,74,1211
648.5,362.5,74,1212
633.5,415.5,74,1221
589.5,452.5,74,1222
