Position X [µm],Position Y [µm],Time [h],Lineage ID
285.453,86.457,1,1
329.889,33.005,1,2
214.613,100.625,1,3
159.229,78.729,1,4
287.385,76.153,1,5
287.385,89.034,2,1
329.245,33.005,2,2
214.935,102.557,2,3
161.805,78.729,2,4
286.741,78.728,2,5
289.317,87.745,3,1
329.889,31.717,3,2
213.325,105.133,3,3
161.161,78.729,3,4
284.809,77.441,3,5
288.029,91.609,4,1
326.025,31.073,4,2
197.869,114.793,4,3
159.229,76.797,4,4
286.097,81.305,4,5
288.029,90.644,5,1
324.093,31.073,5,2
198.513,113.505,5,3
156.009,76.797,5,4
286.096,81.303,5,5
288.029,94.185,6,1
315.721,29.785,6,2
199.801,114.793,6,3
155.365,76.797,6,4
285.453,83.881,6,5
287.385,93.542,7,1
318.941,29.785,7,2
199.157,114.793,7,3
155.687,75.187,7,4
285.453,83.88,7,5
290.605,93.541,8,1
317.009,28.497,8,2
195.937,114.149,8,3
154.721,76.475,8,4
285.453,83.237,8,5
290.606,92.898,9,1
308.637,25.277,9,2
201.411,113.183,9,3
155.365,76.153,9,4
287.353,83.511,9,5
293.825,92.253,10,1
290.613,26.194,10,2
201.089,110.285,10,3
155.365,76.797,10,4
285.453,83.881,10,5
290.605,94.829,11,1
275.793,22.701,11,2
203.665,109.641,11,3
155.687,77.763,11,4
293.825,80.661,11,5
288.673,94.185,12,1
264.845,22.701,12,2
206.241,110.285,12,3
155.365,78.729,12,4
298.333,79.373,12,5
288.029,93.541,13,1
262.269,23.345,13,2
207.529,112.217,13,3
157.297,79.373,13,4
302.841,81.305,13,5
286.741,90.965,14,1
260.337,23.345,14,2
208.173,112.861,14,3
152.145,78.729,14,4
303.485,77.441,14,5
286.419,88.389,15,1
251.321,23.989,15,2
206.885,114.149,15,3
152.145,81.305,15,4
306.061,76.153,15,5
285.453,86.457,16,1
245.525,22.701,16,2
209.461,114.793,16,3
154.647,78.953,16,4
315.721,71.001,16,5
283.68,73.913,17,1
233.289,22.701,17,2
210.105,112.539,17,3
154.721,80.661,17,4
318.941,74.221,17,5
280.623,61.341,18,1
